"id"	"Date"	"long"	"lat"
1931	2015-03-08	-121.95162	37.46141
1932	2015-03-23	-122.31477	38.19768
1933	2015-03-23	-122.31002	38.22124
1934	2015-03-23	-122.29712	38.23093
1935	2015-03-23	-122.28762	38.23605
1936	2015-03-23	-122.28541	38.24458
1937	2015-03-23	-122.28463	38.26511
1938	2015-03-23	-122.28218	38.28177
1939	2015-03-23	-122.28218	38.29662
1940	2015-03-25	-122.42696	38.21763
1941	2015-03-25	-122.42719	38.22847
1942	2015-03-25	-122.40447	38.18842
1943	2015-03-25	-122.4148	38.16997
1944	2015-03-24	-122.612553	38.227792
1945	2015-03-24	-122.568217	38.203667
1946	2015-03-24	-122.565417	38.209383
1947	2015-03-21	-122.02244	37.46243
1948	2015-03-21	-121.98019	37.46041
1949	2015-03-21	-121.98274	37.46601
1950	2015-03-21	-121.98306	37.42966
1951	2015-03-22	-121.9525	37.46251
1952	2015-03-22	-121.9462	37.46411
1953	2015-03-22	-121.93987	37.46289
1954	2015-03-22	-121.96461	37.4592
1955	2015-03-22	-121.96597	37.45264
1956	2015-03-22	-121.96207	37.44455
1957	2015-03-22	-121.947209	37.467216
1958	2015-03-24	-122.52125	38.14198
1959	2015-03-24	-122.51256	38.12967
1960	2015-03-24	-122.547383	38.194433
1961	2015-03-24	-122.53321	38.16699
1962	2015-03-24	-122.583167	38.214533
1963	2015-03-21	-122.03674	37.46186
1964	2015-03-21	-122.03674	37.46186
1965	2015-03-21	-122.041934	37.458495
1966	2015-03-21	-121.97608	37.46187
1967	2015-03-21	-121.99992	37.44
1968	2015-03-21	-121.97658	37.46024
1969	2015-03-21	-122.02489	37.4557
1970	2015-03-22	-121.96486	37.46358
1971	2015-03-22	-121.95162	37.46141
1972	2015-03-22	-121.96207	37.44455
2005	2015-05-29	-122.29369	38.25166
2007	2015-05-29	NA	NA
2008	2015-05-29	NA	NA
2009	2015-05-29	NA	NA
2010	2015-05-29	-122.286	38.26634
